y	y_pred
14.55	11
15	13
14.88	12
15.02	13
14.99	13
14.72	12
15.13	13
15.15	13
14.55	12
14.81	13
14.56	12
14.21	12
14.32	12
14.32	12
14.35	12
14.45	12
14.87	13
14.84	13
14.72	13
14.65	12
14.89	12
15.18	13
15.16	13
15.03	13
14.96	13
14.89	13
14.7	12
14.7	13
14.7	12
14.7	12
14.7	13
14.66	12
14.67	12
14.68	12
14.78	13
14.67	12
14.71	12
14.94	13
15.01	13
15.11	13
14.86	13
14.49	12
14.6	12
14.5	12
14.7	12
14.76	13
14.8	13
14.85	13
14.75	13
14.52	12
14.69	12
14.7	12
14.71	12
14.78	12
15.09	13
15.12	13
15	13
14.94	13
14.99	13
14.73	12
14.98	13
14.92	13
14.86	13
14.96	12
15.37	13
15.43	13
15.34	13
15.39	13
15.48	14
15.3	13
15.32	13
15.38	13
15.43	13
15.44	13
15.63	12
16.32	14
16.2	14
16.35	14
16.84	15
16.65	15
16.77	15
16.44	14
16.6	15
16.22	14
16.41	14
16.73	15
16.65	14
16.95	15
17.32	16
17.17	15
16.9	15
16.84	14
17.54	16
17.14	16
16.33	14
16.29	14
16.38	15
16.32	14
16.29	15
15.56	13
15.6	14
15.49	14
15.26	13
15.5	13
15.58	14
15.48	13
15.86	14
15.94	14
15.5	13
15.93	14
15.99	14
15.71	13
15.81	14
15.95	11
16.2	12
16.15	12
15.88	12
15.63	12
15.05	11
15	11
14.93	10
15.17	11
14.9	11
14.64	10
14.79	10
14.99	11
14.86	10
14.98	11
14.99	11
15.08	11
15.29	11
15.15	11
15	11
15.07	11
14.93	11
14.99	11
15.15	11
15.21	11
15.27	11
15.51	11
15.37	11
15.4	11
15.18	10
15.68	11
15.71	12
15.52	11
15.66	11
15.59	11
15.65	11
15.8	12
15.75	12
15.62	11
15.57	11
15.56	11
15.28	11
15.28	11
15.28	11
15.28	11
15.28	11
15.28	11
15.28	10
16.81	11
17.16	12
17.22	13
17.05	12
17.3	13
17.4	12
17.9	14
17.53	13
17.51	13
17.05	13
17	13
16.96	12
17.33	13
17.29	13
17.26	13
17.35	13
17.3	13
17.05	13
16.96	13
16.79	12
16.85	12
16.85	12
17.25	13
17.25	13
17.25	13
17.25	12
17.66	13
17.92	13
17.87	13
17.76	13
17.64	13
17.82	13
17.83	14
17.6	14
17.03	12
17.16	13
16.81	12
17.3	13
17.24	12
17.44	11
18.94	14
18.97	14
19.04	14
19.12	15
19	14
19	14
18.98	13
19.92	16
19.38	15
19.53	15
19.55	15
19.75	15
19.62	15
19.81	14
20.59	16
20.63	16
20.98	16
20.99	17
20.95	17
20.79	16
21.3	17
21.44	17
21.61	17
21.86	16
22.81	19
22.4	17
23.55	19
23.85	19
23.97	20
23.83	19
23.97	20
23.74	20
22.6	18
22.64	17
23.52	19
23.25	19
23.19	19
22.45	18
22.61	17
23.41	19
23.22	18
23.97	21
22.9	19
22.07	17
22.67	17
23.58	19
23.66	19
23.97	20
23.12	19
22.92	19
22.75	18
23.25	19
22.95	19
22.82	18
22.85	19
22.14	18
21.84	17
22.12	18
22.28	17
22.68	19
22.48	19
21.88	17
21.77	17
21.84	17
22.43	17
22.95	18
